2025-06-06 14:00:35, CPU: 11.7%, RAM: 71.8%, Disk: 55.3%, Battery: 44%
2025-06-06 14:00:40, CPU: 5.7%, RAM: 71.9%, Disk: 55.3%, Battery: 44%
2025-06-06 14:00:43, CPU: 5.2%, RAM: 71.9%, Disk: 55.3%, Battery: 44%
2025-06-06 14:00:46, CPU: 2.2%, RAM: 71.9%, Disk: 55.3%, Battery: 44%
2025-06-06 14:00:49, CPU: 5.8%, RAM: 71.9%, Disk: 55.3%, Battery: 44%
2025-06-06 14:00:52, CPU: 9.3%, RAM: 71.9%, Disk: 55.3%, Battery: 44%
2025-06-06 14:00:55, CPU: 5.2%, RAM: 71.9%, Disk: 55.3%, Battery: 44%
2025-06-06 14:00:59, CPU: 5.4%, RAM: 71.9%, Disk: 55.3%, Battery: 44%
2025-06-06 14:01:02, CPU: 27.8%, RAM: 72.2%, Disk: 55.3%, Battery: 44%
2025-06-06 14:01:05, CPU: 11.9%, RAM: 72.2%, Disk: 55.3%, Battery: 44%
2025-06-06 14:01:08, CPU: 11.7%, RAM: 72.2%, Disk: 55.3%, Battery: 44%
2025-06-06 14:01:11, CPU: 15.8%, RAM: 72.1%, Disk: 55.3%, Battery: 44%
2025-06-06 14:01:14, CPU: 5.4%, RAM: 72.1%, Disk: 55.3%, Battery: 44%
2025-06-06 14:01:17, CPU: 10.3%, RAM: 72.1%, Disk: 55.3%, Battery: 44%
2025-06-06 14:01:21, CPU: 2.3%, RAM: 72.0%, Disk: 55.3%, Battery: 44%
2025-06-06 14:01:24, CPU: 3.8%, RAM: 72.0%, Disk: 55.3%, Battery: 44%
2025-06-06 14:01:27, CPU: 11.1%, RAM: 72.1%, Disk: 55.3%, Battery: 44%
2025-06-06 14:01:30, CPU: 3.4%, RAM: 72.1%, Disk: 55.3%, Battery: 43%
2025-06-06 14:01:33, CPU: 9.4%, RAM: 72.0%, Disk: 55.3%, Battery: 43%
2025-06-06 14:01:37, CPU: 14.6%, RAM: 72.2%, Disk: 55.3%, Battery: 43%
2025-06-06 14:01:40, CPU: 5.9%, RAM: 72.2%, Disk: 55.3%, Battery: 43%
2025-06-06 14:01:43, CPU: 1.3%, RAM: 72.2%, Disk: 55.3%, Battery: 43%
2025-06-06 14:01:46, CPU: 10.5%, RAM: 71.9%, Disk: 55.3%, Battery: 43%
2025-06-06 14:01:49, CPU: 11.7%, RAM: 72.2%, Disk: 55.3%, Battery: 43%
2025-06-06 14:01:53, CPU: 17.0%, RAM: 71.8%, Disk: 55.3%, Battery: 43%
